,Unnamed: 0,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,delta_e,CL_strut_cor,CD_strut_cor,CMpitch25c_strut_cor,Drag coefficient,Thrust coefficient,CL_thrust_cor,V cor,q cor,CDbcor,CMbcor,CL cor,CLa,CM25ca,dAoA,dCD,dCM25c,AoA cor,CD cor,CM cor,CT cor
10,11,12.0,9.0,33.0,54.0,12.001,12,0.0,418.47,100780.0,286.85,3897.8,61.9,1402.3,1340.3,2996.8,-28.0,0.0,1.2239451299010142,980.7749395131488,40.03305227909012,40,453372.4788255472,56.19,56.2,-0.93,-0.78,0.0,100780.0,1.4567797307490283e-05,3.5,3.506194208125599,3.505570330152622,35.91969011205161,0.6706010200403363,241.6177713035488,-0.4717894198199137,-3.0289662038144485,0.1851409186181257,0.1686413235428577,0.0031484415159486,1.1343845288474474,-0.0015860277896426,-0.0861976663909932,0.0006223934441777,1.144656770383498,-0.0709156774624087,1.1343845288474474,0.1686413235428578,-0.0031484415159486,-0.0008127744201878,-0.1337297240111816,-0.4198939166070561,0.0004397912160064,-15,1.1174845288474475,0.1595413235428578,-0.4181939166070561,0.1098185135357982,-0.050816336923922185,1.128049839378465,40.521007004679106,1006.4908637437519,0.10701264149568891,-0.40750902769195496,1.0992280733368944,3.1374641813493773,-3.9548087761780346,0.00438082429917208,0.004287632218626055,-0.028830414676670142,12.004380824299172,0.11130027371431497,-0.4363394423686251,-0.04930147334157004
11,9,10.0,9.0,32.0,35.0,14.001,14,0.0,417.77,100781.0,286.85,4718.9,37.0,1480.9,1436.5,3443.2,-23.9,0.0,1.223957274623478,979.1216680187064,39.99909816750317,40,452992.4448908331,56.19,56.21,-0.64,-0.68,0.0,100781.0,1.456765275844525e-05,3.5,3.50322042265058,3.501973946784132,43.46670402583107,0.3257872265311677,263.305377847558,-0.5628728794194595,-6.566388399171878,0.1572791695716521,0.2044187975984231,0.001532139015667,1.238294228814999,-0.0018954206933224,-0.1871803896423736,0.0005296225907031,1.25096321422349,-0.1012456349071542,1.2382942288149987,0.2044187975984231,-0.001532139015667,-0.0015482381910642,-0.2447964345237374,-0.5575372380796099,0.0001393093628224,-15,1.2048942288149986,0.1933187975984231,-0.5563372380796099,0.14565995514576974,-0.04910244430027897,1.2167731852186991,40.63679316968511,1010.5447170814901,0.1411306356216944,-0.5390378429789976,1.1789374290654921,2.2835048354777903,-3.943190699269875,0.004732803959099987,0.005004294804390177,-0.03140111502842438,14.0047328039591,0.14613493042608458,-0.570438958007422,-0.0486129283027822
12,15,16.0,9.0,37.0,6.0,-4.994,-5,0.0,104.76,100777.0,286.35,112.2,-33.9,-332.3,-311.6,541.6,-6.5,0.0,1.22604578093658,244.39338579817968,19.966703934871628,20,226817.7804950563,61.5,61.5,1.39,1.42,0.0,100777.0,1.4523109836458687e-05,1.6,1.5977453375961548,1.5977453375961548,1.035428006446708,-0.6229802725673741,-26.16870609062667,-0.3457313114919746,5.572254997125372,0.0369473323128686,0.019508830736437,-0.0117377708676859,-0.4930529737799598,-0.004664243565782,0.6363733373922366,0.0004984545839062,-0.4928795271615441,-0.0234861903036101,-0.4930529737799598,0.019508830736437,0.0117377708676859,-0.0078989126353467,0.6308747155409252,0.7540945973313112,0.0011841739296656,-15,-0.5158529737799599,0.013408830736436998,0.7527945973313113,0.07770448077202942,0.06452437145229967,-0.5102293042607089,20.128418561115176,247.54192642121265,0.0767161402600221,0.7432196360115698,-0.5037395846614797,5.0755615251504285,-3.9563552747588115,-0.0006099624395744889,8.312124517474172e-05,0.00463954559759201,-5.000609962439574,0.07679926150519685,0.7478591816091619,0.06361569439492669
13,14,15.0,9.0,36.0,23.0,7.006,7,0.0,105.02,100780.0,286.42999999999995,79.8,-13.5,336.0,334.8,241.4,-3.3,0.0,1.2257398335094296,244.9999209280697,19.993960050580515,20,227021.36939479416,61.49,61.5,1.5,1.54,0.0,100780.0,1.4529893163018737e-05,1.6,1.6001865781405875,1.5999263852010526,0.8051595208066565,-0.2420360756569275,46.8142838888846,-0.3505557344377469,0.7861248571693367,0.0272116487861738,0.0151327120975212,-0.0045489895548408,0.8798592848189546,-0.0047176214251263,0.0895562759287206,0.0003662021319735,0.8751355000269007,-0.0922996026546989,0.8798592848189546,0.0151327120975212,0.0045489895548408,-0.005999636549268,0.085291076105462,-0.1334927989012631,-0.0003683275189796,-15,0.8737592848189546,0.008932712097521202,-0.13129279890126308,0.07889291829580233,0.07051702116291889,0.8651654217509428,20.158446245405564,248.89722962544664,0.07765758893075325,-0.12923697623167826,0.8516183978329434,6.4713576771913806,-4.237917646094368,0.0036951760598905492,0.003050535799987825,-0.029099621201963577,7.003695176059891,0.08070812473074107,-0.15833659743364184,0.0723458594813558
14,12,13.0,9.0,35.0,11.0,12.001,12,0.0,104.86,100781.0,286.56,442.3,-2.0,424.9,411.2,501.2,-3.4,0.0,1.2251959248525426,244.62666780005625,19.983158165813023,20,226717.96788615503,61.51,61.51,1.5,1.53,0.0,100781.0,1.4541477161049192e-05,1.6,1.5988020453281575,1.5988020453281575,4.146153038954508,-0.0520129822244991,63.17897830119461,-0.4225979633522184,-1.904239538644371,0.0303680466061392,0.0780445013016681,-0.0009790587131697,1.1892401963794816,-0.0056958108125729,-0.217264224597382,0.0004093030805068,1.1794758257497275,-0.1709384840816505,1.1892401963794816,0.0780445013016681,0.0009790587131697,-0.005926348314433,-0.2392612989494877,-0.5341302553869196,-0.0008319009313905,-15,1.1723401963794817,0.0689445013016681,-0.5324302553869196,0.1334200470819974,0.06593614501943734,1.1586313009824856,20.233767203325442,250.37865734731744,0.13035496667801477,-0.5201986486833861,1.1320138759871268,3.2163118103678454,-4.595562636933792,0.004453661708567565,0.004431393400024727,-0.03111324038030406,12.004453661708567,0.1347863600780395,-0.5513118890636901,0.06733298226058286
15,13,14.0,9.0,35.0,48.0,14.001,14,0.0,104.88,100781.0,286.47,696.9,-5.6,427.2,429.6,710.2,-2.3,0.0,1.2255808434591569,244.6733243114899,19.981925118111658,20,226830.63937104988,61.49,61.48,1.45,1.6,0.0,100781.0,1.453335728099315e-05,1.6,1.5992233803870273,1.599483501301209,6.482459154648602,-0.0950154126558087,69.56625597499507,-0.2172809736394793,-3.0274403466392683,0.023383516615989,0.1219983473225103,-0.0017881675823383,1.3092204757322794,-0.0029279727572665,-0.3453499623014519,0.0003151049006909,1.299841641661089,-0.1983773107739002,1.3092204757322792,0.1219983473225103,0.0017881675823383,-0.003406250449551,-0.3797355586231483,-0.7046959690384206,-0.0005183606419305,-15,1.275820475732279,0.1108983473225103,-0.7034959690384206,0.1734797701157328,0.06451807064590558,1.2602121417811882,20.30051846651454,252.08145147818396,0.16838157589981514,-0.6828217481890365,1.2231772399723382,2.6116380012837714,-4.886347760933967,0.004698623275361323,0.004932272996417927,-0.03750629218227405,14.004698623275361,0.17331384889623308,-0.7203280403713106,0.06434706997569081
16,19,20.0,9.0,40.0,11.0,-4.994,-5,0.0,26.21,100774.0,286.15,67.9,-2.4,-104.4,-104.6,187.7,1.3,0.0,1.2268661828770695,61.43625398285263,10.007572925262805,10,113821.98751270965,30.75,30.76,0.31,0.35,0.0,100774.0,1.4505507858112e-05,1.6,1.6016216831929462,1.601100999940933,0.6262619101969987,-0.0264193643566768,-8.181867949922621,-0.0401366715302397,1.4218206594195697,-0.0120473338695382,0.0469388075353759,-0.0019801514966077,-0.6132372394490215,-0.0021540143028952,0.6459375535918055,-0.0006465441322703,-0.6149953701302642,-0.0066225537550827,-0.6132372394490215,0.0469388075353759,0.0019801514966077,-0.0027581127461502,0.6327077113590539,0.78645655389162,-0.0004039921002354,-15,-0.6360372394490216,0.0408388075353759,0.78515655389162,0.10724070456259309,0.06662958695742334,-0.6302300883087777,10.065586083985622,62.24476934715578,0.10584772394386881,0.7749579276638614,-0.6220438468817773,5.565853147948594,-4.497854497192737,-0.000552180807540081,6.811903234835364e-05,0.004659065180781469,-5.00055218080754,0.10591584297621716,0.7796169928446429,0.06529966461502004
17,18,19.0,9.0,39.0,28.0,7.006,7,0.0,26.26,100774.0,286.23,50.1,-18.8,58.5,66.7,173.9,8.4,0.0,1.2265232792868446,61.55253138347868,10.018439023171034,10,113888.9438277247,30.77,30.76,0.29,0.3,0.0,100774.0,1.4512720582121122e-05,1.6,1.6023185456439308,1.6028394554442051,0.5352794423768782,-0.1816445343794657,11.659736923881354,-0.1439210434528778,0.1970637146487637,-0.0485873156148516,0.0400438132494449,-0.013588677682399,0.8722552949994072,-0.0077092181710119,0.0893575366360903,-0.0026026090933765,0.8706267750427691,-0.0666470195334103,0.8722552949994071,0.0400438132494448,0.013588677682399,-0.0111356195600584,0.0780710690093051,-0.1395856247513871,-0.003941424474891,-15,0.8661552949994071,0.033843813249444805,-0.1373856247513871,0.10611163814861554,0.07285343369250795,0.8572766948704907,10.100641245211172,62.79771051111681,0.10400761244534161,-0.13466148543188647,0.8402782559405497,6.982073731701245,-4.421525707278676,0.0037529576919249573,0.00314668443569308,-0.030597804077884608,7.003752957691925,0.10715429688103469,-0.1652592895097711,0.07390392261002071
18,16,17.0,9.0,38.0,32.0,12.001,12,0.0,26.11,100774.0,286.31,158.6,-1.3,48.7,51.2,394.0,2.4,0.0,1.2261805673230886,61.203699875715024,9.991406341728528,10,113525.2063617158,30.76,30.76,0.33,0.34,0.0,100774.0,1.451993464763517e-05,1.6,1.598514525352572,1.598514525352572,1.5404962758896152,0.0314164220340051,15.348184360045009,-0.0844366966236547,-0.552322174763884,-0.0067289923670206,0.1159000856822842,0.0023636318130462,1.1547291027168805,-0.0045486813380954,-0.2518751047074778,-0.0003624969145877,1.1535902723428813,-0.1267344234151449,1.15472910271688,0.1159000856822842,-0.0023636318130462,-0.0037222554658384,-0.2845418878843489,-0.5729394559700692,-0.0011285381452142,-15,1.13782910271688,0.1068000856822842,-0.5712394559700692,0.17359912725733595,0.06831256229690365,1.1236261223856374,10.145257655979833,62.99467492204072,0.16866360365368885,-0.554998787812242,1.091680781782121,2.883744482412543,-4.970839952883905,0.004511443340601974,0.004547124756114007,-0.034150471861078016,12.004511443340602,0.17321072840980287,-0.58914925967332,0.06791548638807178
19,17,18.0,9.0,38.0,55.0,14.001,14,0.0,26.36,100773.0,286.27,214.0,-0.2,43.0,45.2,527.6,1.7,0.0,1.2263397300333068,61.78508687884528,10.038097957495838,10,114082.93973716829,30.75,30.75,0.34,0.34,0.0,100773.0,1.4516471496973385e-05,1.6,1.6065069389757118,1.6065069389757118,2.044430187578953,0.0407717080253973,17.890916517633578,-0.0876216192778259,-0.72589219775267,-0.0016069391570849,0.152366469448181,0.0030386174313726,1.3333670191067362,-0.0046758392124042,-0.3279132064177416,-8.575268506304874e-05,1.3306180554924067,-0.1747533663518178,1.333367019106736,0.1523664694481809,-0.0030386174313726,-0.0036851804577803,-0.3708581481025421,-0.7035126619756438,-0.0009747933515787,-15,1.2999670191067358,0.14126646944818091,-0.7023126619756438,0.20607494095414425,0.06680179336507874,1.2838062026263988,10.192164541670476,64.18248296871893,0.19837746284465452,-0.676079310571807,1.2358524334985803,4.130213584391575,-3.740646810805838,0.004756404907395731,0.005054328814777155,-0.029463621975004878,14.004756404907395,0.20343179165943168,-0.7055429325468119,0.0640777276775414
